60,2023-06-07 13:15:00+00:00
timestep=60,x_sat,y_sat,z_sat,sat_in_sun,earth_sun,sat_pos,sun_sat_pos,lat,lon,height
3360.0,1997592.9701903453,4447653.33144435,4716159.405347244,True,[-3.60452022e+10 -1.35306892e+11 -5.86536480e+10],[1997592.97019035 4447653.33144435 4716159.40534724],[-3.60432046e+10 -1.35302444e+11 -5.86489319e+10],44.282356359029826,-42.24291174630698,415618.46515937144
3420.0,1564771.8357546285,4452497.815180461,4872085.018235583,True,[-3.60434957e+10 -1.35307288e+11 -5.86538197e+10],[1564771.83575463 4452497.81518046 4872085.01823558],[-3.60419310e+10 -1.35302835e+11 -5.86489476e+10],46.13652830389602,-37.65854561780984,416037.8666010797
3480.0,1124775.0957075285,4436924.633008657,5005604.805087421,True,[-3.60417892e+10 -1.35307683e+11 -5.86539913e+10],[1124775.09570753 4436924.63300866 5005604.80508742],[-3.60406644e+10 -1.35303247e+11 -5.86489857e+10],47.77237913182787,-32.75963788169755,416428.94165058
3540.0,679620.9750438678,4401007.393772021,5116107.234669147,True,[-3.60400827e+10 -1.35308079e+11 -5.86541630e+10],[ 679620.97504387 4401007.39377202 5116107.23466915],[-3.60394031e+10 -1.35303678e+11 -5.86490469e+10],49.162983505909345,-27.553944519636236,416782.8192722289
3600.0,231350.88548932152,4344912.831717909,5203086.587372711,True,[-3.60383762e+10 -1.35308475e+11 -5.86543346e+10],[ 231350.88548932 4344912.83171791 5203086.58737271],[-3.60381448e+10 -1.35304130e+11 -5.86491315e+10],50.282041727670745,-22.066307867544765,417091.894938677
3660.0,-217979.90298193388,4268899.9691629475,5266145.180373436,True,[-3.60366696e+10 -1.35308871e+11 -5.86545062e+10],[-217979.90298193 4268899.96916295 5266145.18037344],[-3.60368876e+10 -1.35304602e+11 -5.86492401e+10],51.10571490429909,-16.341116054159237,417349.97183334816
3720.0,-666311.6303916738,4173318.8717446337,5304995.106960442,True,[-3.60349631e+10 -1.35309267e+11 -5.86546778e+10],[-666311.63039167 4173318.87174463 5304995.10696044],[-3.60356294e+10 -1.35305094e+11 -5.86493728e+10],51.61471906443865,-10.442293809324651,417552.37382097787
3780.0,-1111589.4170594153,4058609.0040293518,5319459.4864366995,True,[-3.60332565e+10 -1.35309663e+11 -5.86548494e+10],[-1111589.41705942  4058609.00402935  5319459.4864367 ],[-3.60343681e+10 -1.35305604e+11 -5.86495300e+10],51.796331681863016,-4.44992003201716,417696.0283757709
3840.0,-1551772.5990177023,3925297.1940740296,5309473.222268482,True,[-3.60315500e+10 -1.35310059e+11 -5.86550210e+10],[-1551772.5990177   3925297.19407403  5309473.22226848],[-3.60331018e+10 -1.35306133e+11 -5.86497116e+10],51.645873284246775,1.5465404184492324,417779.5181661476
3900.0,-1984843.9923339451,3773995.2162704826,5275083.2673117295,True,[-3.60298434e+10 -1.35310455e+11 -5.86551926e+10],[-1984843.99233395  3773995.21627048  5275083.26731173],[-3.60318283e+10 -1.35306681e+11 -5.86499175e+10],51.16728512689466,7.457198969583376,417803.1005115168
